name,description,rating,price,,availability,product_url,listing_page_url
Istanbul Mehmet IMC Dark Stack,"Februarie 2025 / 610530 / 1 bucată(ăţi) / 15""",,2555.00,2555.00,în stoc,https://www.thomann.de/ro/istanbul_mehmet_imc_dark_stack.htm?type=category,https://www.thomann.de/ro/stive.html
Masterwork Troy Cymbal Set,"Martie 2007 / 111782 / 1 bucată(ăţi) / 1x Hi-Hat, 1x Ride, 1x Crash / Yes / B25",4.7 din 5 stele din 66 evaluări ale clienților,2499.00,2499.00,în stoc,https://www.thomann.de/ro/masterwork_troy_beckensatz.htm?type=category,https://www.thomann.de/ro/seturi_de_cinele.html
Studio 49 CS44 Beater for Xylophone,Octombrie 2010 / 254798 / 1 bucată(ăţi) / Hard / Plastic / Plastic / Alto Mallets,4.0 din 5 stele din 4 evaluări ale clienților,71.00,71.00,în stoc,https://www.thomann.de/ro/studio_49_cs44_beater_for_xylophone.htm?type=category,https://www.thomann.de/ro/maciuci_pt_instrumente_educationale1.html
"Ufip 16"" Blast Series Hi-Hat",Octombrie 2017 / 424407 / 1 bucată(ăţi) / Yes / Brilliant / Glossy / B20,,2855.00,2855.00,în stoc,https://www.thomann.de/ro/ufip_16_blast_series_hi_hat.htm?type=category,https://www.thomann.de/ro/fus_cinele_16_inci.html
Zildjian FX Raw Crash Large Bel B-Stock,561382 / 1 bucată(ăţi) / No / Regular / Traditional / B20,,1555.00,1555.00,în stoc,https://www.thomann.de/ro/zildjian_fx_raw_crash_large_bel_b_stock.htm?type=category,https://www.thomann.de/ro/crash-uri_21_inci.html
"Sabian 11"" AAX MAXX Splash V2","Aprilie 2025 / 611786 / 1 bucată(ăţi) / No / Regular, Traditional / B20 Bronze",,1099.00,1099.00,în stoc,https://www.thomann.de/ro/sabian_11_aax_maxx_splash_v2.htm?type=category,https://www.thomann.de/ro/splash-uri_11_inci.html
"Meinl 22"" Byzance Foundry Re B-Stock",Ianuarie 2024 / 619021 / 1 bucată(ăţi),,3222.00,3222.00,în stoc,https://www.thomann.de/ro/meinl_22_byzance_foundry_re_b_stock_619021.htm?type=category,https://www.thomann.de/ro/cinele_chinese_22_inci.html
"Sabian 09"" AAX MAXX Splash V2","Aprilie 2025 / 611784 / 1 bucată(ăţi) / No / Regular, Traditional / B20 Bronze",,1035.00,1035.00,în stoc,https://www.thomann.de/ro/sabian_09_aax_maxx_splash_v2.htm?type=category,https://www.thomann.de/ro/splash-uri_9_inci.html
"Masterwork 09"" Custom Splash","Decembrie 2007 / 111575 / 1 bucată(ăţi) / Yes / Regular, Traditional / B25 Bronze",4.5 din 5 stele din 4 evaluări ale clienților,419.00,419.00,în stoc,https://www.thomann.de/ro/masterwork_09_custom_splash.htm?type=category,https://www.thomann.de/ro/splash-uri_9_inci.html
"Meinl 08"" Classics Cust. Dar B-Stock","Ianuarie 2019 / 535955 / 1 bucată(ăţi) / No / Regular, Traditional / B12 Bronze",,315.00,315.00,în stoc,https://www.thomann.de/ro/meinl_08_classics_cust_dar_b_stock.htm?type=category,https://www.thomann.de/ro/splash-uri_8_inci.html
Kolberg 815AM Filigrana 2,Septembrie 2022 / 548863 / 1 pereche,,399.00,399.00,în stoc,https://www.thomann.de/ro/kolberg_815am_filigrana_2.htm?type=category,https://www.thomann.de/ro/diverse_maciuci_de_orchestra2.html
Kolberg R802XP Psappha Mallets,Ianuarie 2024 / 584146 / 1 pereche,,585.00,585.00,în stoc,https://www.thomann.de/ro/kolberg_r802xp_psappha_mallets.htm?type=category,https://www.thomann.de/ro/diverse_maciuci_de_orchestra2.html
Pearl Midtown Pure White,"Noiembrie 2023 / 577434 / 1 bucată(ăţi) / 16"" / 1 / 1 / Poplar / Foiled / White / No / No / No / Chrome / Yes / No / Yes / No",5.0 din 5 stele din 2 evaluări ale clienților,3069.00,3069.00,în stoc,https://www.thomann.de/ro/pearl_midtown_pure_white.htm?type=category,https://www.thomann.de/ro/seturi_tobe_acustice.html?pg=2
"Pearl Roadshow 20"" Plus Royal Blue","Mai 2022 / 542896 / 1 bucată(ăţi) / 20"" / 2 / 1 / Poplar / Foiled / Blue / No / No / No / Chrome / Yes / Yes / Yes / Yes",,4111.00,4111.00,în stoc,https://www.thomann.de/ro/pearl_roadshow_20_plus_royal_blue.htm?type=category,https://www.thomann.de/ro/seturi_tobe_acustice.html?pg=2
"Pearl Roadshow 18"" Plus Jet Black","Iunie 2021 / 521874 / 1 bucată(ăţi) / 18"" / 2 / 1 / Poplar / Foiled / Black / No / No / No / Chrome / Yes / Yes / Yes / Yes",4.0 din 5 stele din 2 evaluări ale clienților,3959.00,3959.00,în stoc,https://www.thomann.de/ro/pearl_roadshow_18_plus_jet_black.htm?type=category,https://www.thomann.de/ro/seturi_tobe_acustice.html?pg=2
Pearl Decade Maple Studio BK Burst,"Iunie 2016 / 381678 / 1 bucată(ăţi) / 20"" / 2 / 1 / Maple / Matt lacquered / Black / No / No / Yes / Chrome / Yes / No / Yes / No",5.0 din 5 stele din 4 evaluări ale clienților,7699.00,7699.00,în stoc,https://www.thomann.de/ro/pearl_decade_maple_studio_bk_burst.htm?type=category,https://www.thomann.de/ro/seturi_tobe_acustice.html?pg=2
"Tama Imperialstar 20"" 5pcs -CTW","Octombrie 2023 / 575872 / 1 bucată(ăţi) / 20"" / 2 / 1 / Poplar / Foiled / Brown / No / No / No / Chrome / Yes / Yes / Yes / Yes",,4799.00,4799.00,în stoc,https://www.thomann.de/ro/tama_imperialstar_20_5pcs_ctw_575872.htm?type=category,https://www.thomann.de/ro/seturi_tobe_acustice.html?pg=2
Pearl Midtown Matte Black,"Noiembrie 2023 / 577437 / 1 bucată(ăţi) / 16"" / 1 / 1 / Poplar / Foiled / Black / No / No / No / Chrome / Yes / No / Yes / No",5.0 din 5 stele din 1 evaluări ale clienților,3069.00,3069.00,în stoc,https://www.thomann.de/ro/pearl_midtown_matte_black.htm?type=category,https://www.thomann.de/ro/seturi_tobe_acustice.html?pg=2
Thomann Wind Gong 130 B-Stock,"Aprilie 2010 / 627264 / 1 bucată(ăţi) / 52""",,"11,69",11690.00,în stoc,https://www.thomann.de/ro/thomann_wind_gong_130_b_stock.htm?type=category,https://www.thomann.de/ro/gonguri.html?pg=2
"Thomann Tam Gong 56"" ES B-Stock","Martie 2023 / 602632 / 1 bucată(ăţi) / 56"" / German / Thomann",,10222.00,10222.00,în stoc,https://www.thomann.de/ro/thomann_tam_gong_56_es_b_stock.htm?type=category,https://www.thomann.de/ro/gonguri.html?pg=2
Thomann Wuhan Tam Tam 130 B-Stock,"Aprilie 2010 / 621653 / 1 bucată(ăţi) / 52"" / Chinese / Thomann",,"12,19",12190.00,în stoc,https://www.thomann.de/ro/thomann_wuhan_tam_tam_130_b_stock.htm?type=category,https://www.thomann.de/ro/gonguri.html?pg=2
Dixon Artisan Walnut/Maple Set SW,"Februarie 2025 / 612033 / 1 bucată(ăţi) / 20"" / 1 / 1 / Maple, Walnut / Lacquer, High glossy / White / No / No / No / Black / No / Paint, high-gloss",,13777.00,13777.00,în stoc,https://www.thomann.de/ro/dixon_artisan_walnut_maple_set_sw.htm?type=category,https://www.thomann.de/ro/seturi_de_tobe_premium.html?pg=2
"Slingerland 24"" Radio King 3pcs Kit WMP","626190 / 1 bucată(ăţi) / 24"" / 1 / 1 / Mahogany, Poplar / Film / White / No / No / No / Nickel / No / Foiled",,"20,89",20890.00,Disponibil in 3-4 Saptamani,https://www.thomann.de/ro/slingerland_24_radio_king_3pcs_kit_wmp.htm?type=category,https://www.thomann.de/ro/seturi_de_tobe_premium.html?pg=2
"Gibraltar SC-EMBA 16"" Drum Modul B-Stock",Iulie 2020 / 554100 / 1 bucată(ăţi) / Extension pipe,,,#VALUE!,în stoc,https://www.thomann.de/ro/gibraltar_sc_emba_16_drum_modul_b_stock_554100.htm?type=category,https://www.thomann.de/ro/piese_de_schimb_pt_tobe.html?pg=2
Gibraltar SC-BAMML Boom Arm Mic  B-Stock,Iulie 2020 / 541613 / 1 bucată(ăţi) / Microphone Holder,,,#VALUE!,în stoc,https://www.thomann.de/ro/gibraltar_sc_bamml_boom_arm_mic_b_stock.htm?type=category,https://www.thomann.de/ro/piese_de_schimb_pt_tobe.html?pg=2
Tama Remote Hi-Hat Cable 120cm,Octombrie 2019 / 475858 / 1 bucată(ăţi) / Bowden Cable,5.0 din 5 stele din 4 evaluări ale clienților,206.00,206.00,în stoc,https://www.thomann.de/ro/tama_remote_hi_hat_cable_120cm.htm?type=category,https://www.thomann.de/ro/piese_de_schimb_pt_tobe.html?pg=2
"Ludwig 14""x5,5"" Universal Black&Gold",Februarie 2024 / 582509 / 1 bucată(ăţi) / Yes / No / Black Nickel,5.0 din 5 stele din 3 evaluări ale clienților,2855.00,2855.00,în stoc,https://www.thomann.de/ro/ludwig_14_x55_universal_blackgold.htm?type=category,https://www.thomann.de/ro/tobe_mici_alama_14_inci.html?pg=2
"Gretsch Drums 14""x05"" Snare Chrome o B-Stock",Februarie 2006 / 394391 / 1 bucată(ăţi) / Yes / No / Silver,,,#VALUE!,în stoc,https://www.thomann.de/ro/gretsch_14x05_snare_chrome_o_b_stock.htm?type=category,https://www.thomann.de/ro/tobe_mici_alama_14_inci.html?pg=2
Millenium SD-148A Black Beast Sn B-Stock,"Aprilie 2010 / 295091 / 1 bucată(ăţi) / 6"" / No / No / Black",4.3 din 5 stele din 6 evaluări ale clienților,,#VALUE!,în stoc,https://www.thomann.de/ro/millenium_sd_148a_black_beast_sn_b_stock.htm?type=category,https://www.thomann.de/ro/tobe_mici_otel_14_inci.html?pg=2
"Pearl 14""x5.5"" Export SD Jet Black","Iulie 2025 / 615409 / 1 bucată(ăţi) / 5,5"" / Black / No / No / foil / Poplar / No / Chrome",,666.00,666.00,în stoc,https://www.thomann.de/ro/pearl_14x55_export_sd_jet_black.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_14_inci.html?pg=2
"Slingerland 14""x6.5"" Radio King Snare WMP","626181 / 1 bucată(ăţi) / 6,5"" / White / No / No / foil / Mahogany, Poplar / No / Nickel",,,#VALUE!,Disponibil in 3-4 Saptamani,https://www.thomann.de/ro/slingerland_14x65_radio_king_snare_wmp.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_14_inci.html?pg=2
"Pearl Decade Maple 14""x5,5"" Snare BK","Septembrie 2016 / 382916 / 1 bucată(ăţi) / 5,5"" / Black / No / No / Lacquer, Matt / Maple / No / Chrome",4.8 din 5 stele din 6 evaluări ale clienților,1299.00,1299.00,în stoc,https://www.thomann.de/ro/pearl_decade_maple_14_x55_snare_bl.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_14_inci.html?pg=2
"Slingerland 14""x5.5"" Radio King Snare BS","626179 / 1 bucată(ăţi) / 5,5"" / Brown / No / No / Lacquer, Matt / Mahogany, Poplar / No / Nickel",,,#VALUE!,Disponibil in 3-4 Saptamani,https://www.thomann.de/ro/slingerland_14x55_radio_king_snare_bs.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_14_inci.html?pg=2
"DW PDP 14""x08"" Walnut Snare","Martie 2018 / 433752 / 1 bucată(ăţi) / 8"" / Natural / No / No / Lacquer, Matt / Maple, Walnut / No / Chrome",4.3 din 5 stele din 15 evaluări ale clienților,"1,99",1990.00,în stoc,https://www.thomann.de/ro/dw_pdp_14_x08_walnut_snare.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_14_inci.html?pg=2
